Authors,Year,Title,Journal,Report Book Conference,Group,Family,Species,Keywords,Suggested Citation,sUAS Platform,sUAS Model,Sensors,Refs Chk
"Anderson, K. and K.J. Gaston",2013,"Lightweight Unmanned Aerial Vehicles Will
Revolutionize Spatial Ecology",Frontiers in Ecology and the Environment,,review,,,"review, sensors, applications, classes of UAVs, operational factors","Anderson, K. and K.J. Gaston. 2013. Lightweight Unmanned Aerial Vehicles Will Revolutionize Spatial Ecology. Frontiers in Ecology and the Environment 11: 138–146. ",,,,
"Anderson, K., D. Griffiths, L. DeBell, S. Hancock, J. P. Duffy, J.D. Shutler, W.J. Reinhardt, and A. Griffiths",2016,"A Grassroots Remote Sensing Toolkit Using Live Coding, Smartphones, Kites and Lightweight Drones",PLoS ONE,,Data analysis,,,"Data analysis, data capture","Anderson, K., D. Griffiths, L. DeBell, S. Hancock, J. P. Duffy, J.D. Shutler, W.J. Reinhardt, and A. Griffiths. 2016. A Grassroots Remote Sensing Toolkit Using Live Coding, Smartphones, Kites and Lightweight Drones. PLoS
ONE 11(5): e0151564. doi:10.1371/journal.",,,,
"Angliss, R.P., M.C. Ferguson, P. Hall, V. Helker, A. Kennedy, and T. Sformo",2018,Comparing manned to unmanned aerial surveys for cetacean monitoring in the Arctic: Methods and operational results,Journal of Unmanned Vehicle Systems,,Marine mammals,,,"aerial survey, logistics, operational requirements, Alaska","Angliss, R.P., M.C. Ferguson, P. Hall, V. Helker, A. Kennedy, and T. Sformo. 2018. Comparing manned to unmanned aerial surveys for cetacean monitoring in the Arctic: Methods and operational results. Journal of Unmanned Vehicle Systems 6: 109-127.",fixed-wing,Insitu ScanEagle,Nikon D810 camera,
"Aniceto, A.S., M. Biuw, U. Lindstrøm, S.A. Solbø, F. Broms, and J. Carroll",2018,Monitoring marine mammals using unmanned aerial vehicles: quantifying detection certainty,Ecosphere,,Marine mammals,"Delphinidae, Balaenopteridae","harbor porpoise, Phocoena phocoena, killer whale, Orcinus orca, humpback whale, Megaptera novaeangliae, ","detectability, Norway","Aniceto, A.S., M. Biuw, U. Lindstrøm, S.A. Solbø, F. Broms, and J. Carroll. 2018. Monitoring marine mammals using unmanned aerial vehicles: quantifying detection certainty. Ecosphere https://doi.org/10.1002/ecs2.2122.",fixed-wing,"Cryowing Micro RPAS and
Cryowing
Scout RPAS",Canon EOS M 18-MP camera,
"Aota, T., K. Ashizawa, H. Mori, M. Toda, and S. Chiba",2021,Detection of Anolis carolinensis using drone images and a deep neural network: an effective tool for controlling invasive species,Biological Invasions,,Reptiles,Dactyloidae,"green anole, Anolis carolinensis","invasive species, species detection, Japan","Aota, T., K. Ashizawa, H. Mori, M. Toda, and S. Chiba. 2021. Detection of Anolis carolinensis using drone images and a deep neural network: an effective tool for controlling invasive species. Biological Invasions https://doi.org/10.1007/s10530-020-02434-y. ",,,,
"Apprill, A., C.A. Miller, M.J. Moore, J.W. Durban, H. Fearnbach, and L.G. Barrett-Lennard",2017,Extensive Core Microbiome in Drone-Captured Whale Blow Supports a Framework for Health Monitoring,mSystems,,Marine mammals,Balaenopteridae,"humpback whale, Megaptera novaeangliae","disease monitoring, Massachusetts, British Columbia","Apprill, A., C.A. Miller, M.J. Moore, J.W. Durban, H. Fearnbach, and L.G. Barrett-Lennard. 2017. Extensive Core Microbiome in Drone-Captured Whale Blow Supports a Framework for Health Monitoring. mSystems 2:e00119-17. https://doi.org/10.1128/mSystems.00119-17.",Hexacopter,APH-22,96-well PCR plates,
"Arona, L., J. Dale, S.G. Heaslip, M.O. Hammill, and D.W. Johnston",2018,"Assessing the disturbance potential of small unoccupied aircraft systems (UAS) on gray seals (Halichoerus grypus) at breeding colonies in Nova Scotia, Canada",PeerJ,,Marine mammals,Phocidae,"gray seal, Halichoerus grypus","disturbance, behavior, breeding, acoustic effects, noise, Nova Scotia","Arona, L., J. Dale, S.G. Heaslip, M.O. Hammill, and D.W. Johnston. 2018. Assessing the disturbance potential of small unoccupied aircraft systems (UAS) on gray seals (Halichoerus grypus) at breeding colonies in Nova Scotia, Canada. PeerJ 6:e4467; DOI 10.7717/peerj.4467.",Fixed-wing,senseFly eBee,,
"Arranz, P., M. Glarou, and K.R. Sprogis",2021,Decreased resting and nursing in short‑finned pilot whales when exposed to louder petrol engine noise of a hybrid whale‑watch vessel,Scientific Reports,,Marine mammals,Delphinidae,"short-finned pilot whale, Globicephala macrorhynchus","focal follows, behavior, Canary Islands","Arranz, P., M. Glarou, and K.R. Sprogis. 2021. Decreased resting and nursing in short‑finned pilot whales when exposed to louder petrol engine noise of a hybrid whale‑watch vessel. Scientific Reports https://doi.org/10.1038/s41598-021-00487-0.",quadcopter,"DJI Inspire 1 Pro, DJI Mavic 2 Pro","16-MP Zenmuse X5 camera, 20-MP Hasselblad",
"Aspinal, R.",2015,BB Eye: Drones and the Need for a Code of Conduct,British Birds,,Regulations,,,"ethics, social responsibility, safety","Aspinal, R. 2015. BB Eye: Drones and the Need for a Code of Conduct. British Birds 108(5):246-247. ",,,,
"Assmann, J.J., J.T. Kerby, A.M. Cunliffe, and I.H. Myers-Smith",2019,Vegetation monitoring using multispectral sensors - best practices and lessons learned from high latitudes,Journal of Unmanned Vehicle Systems,,Vegetation,,,"best practices, Yukon, data collection protocols","Assmann, J.J., J.T. Kerby, A.M. Cunliffe, and I.H. Myers-Smith. 2019. Vegetation monitoring using multispectral sensors - best practices and lessons learned from high latitudes.  Journal of Unmanned Vehicle Systems 7: 54-75.",,,"Parrot Sequoia, MicaSense Red-edge",
Association for Unmanned Vehicle Systems International,2021,Code of Conduct,,Webpage,Regulations,,,"ethics, social responsibility, safety","Association for Unmanned Vehicle Systems International. 2021. Code of Conduct. https://www.auvsi.org/code-conduct, Accessed June 15.",,,,
"Atkinson, S., A. Rogan, C.S. Baker, R. Dagdag, M. Redlinger, J. Polinski, J. Urban, A. Sremba, M. Branson, K. Mashburn, L. Pallin, A. Klink, D. Steel, E. Bortz, and I. Kerr",2021,"Genetic, Endocrine, and Microbiological Assessments of Blue, Humpback and Killer Whale Health using Unoccupied Aerial Systems",Wildlife Society Bulletin,,Marine mammals," Balaenopteridae, Delphinidae","humpback whale, Megaptera novaeangliae, blue whale, Balaenoptera musculus, killer whale, Orcinus orca","physiology, health, Gabon, Mexico, Dominican Republic, Massachusetts","Atkinson, S., A. Rogan, C.S. Baker, R. Dagdag, M. Redlinger, J. Polinski, J. Urban, A. Sremba, M. Branson, K. Mashburn, L. Pallin, A. Klink, D. Steel, E. Bortz, and I. Kerr. 2021. Genetic, Endocrine, and Microbiological Assessments of Blue, Humpback and Killer Whale Health using Unoccupied Aerial Systems. Wildlife Society Bulletin https://doi.org/10.1002/wsb.1240.",quadcopter,"DJI Inspire 2, DJI Mavic Pro",,
"Aubert, A., G. Le Moguedec, C. Assio, R. Blatrix, M. N. Ahizi, G.C. Hedegbetan, N.G. Kpera, V. Lapeyre, D. Martin, P. Labbe, and M.H. Shirley",2021,Evaluation of the use of drones to monitor a diverse crocodylian assemblage in West Africa,Wildlife Research,,"Birds, Mammals, Reptiles","Crocodylidae, Bovidae, Anatidae, Ardeidae, Cercopithecidae,  Hippopotamidae, Elephantidae","West African crocodile, Crocodylus suchus, African buffalo, Syncerus caffer, spur-winged goose, Plectropterus gambensis, grey heron, Ardea cinerea, olive baboon, Papio anubis, hippopotamus, Hippopotamus amphibius, bushbuck, Tragelaphus scriptus, African elephant, Loxodonta africana","Disturbance, flight initiation distance, species identification, Benin, Niger, Cote d’Ivoire","Aubert, A., G. Le Moguedec, C. Assio, R. Blatrix, M. N. Ahizi, G.C. Hedegbetan, N.G. Kpera, V. Lapeyre, D. Martin, P. Labbe, and M.H. Shirley. 2021. Evaluation of the use of drones to monitor a diverse crocodylian assemblage in West Africa. Wildlife Research https://doi.org/10.1071/WR20170. ",quadcopter,DJI Phantom 4 Pro,20-MP camera,
"Aubin, J.A., M.-A. Mikus, R. Michaud, D. Mennill, and V. Vergara",2023,Fly with care: belugas show evasive responses to low altitude drone flights,Marine Mammal Science,,Marine mammals,Monodontidae,"beluga, Delphinapterus leucas","disturbance, Quebec","Aubin, J.A., M.-A. Mikus, R. Michaud, D. Mennill, and V. Vergara. 2023. Fly with care: belugas show evasive responses to low altitude drone flights. Marine Mammal Science https://doi.org/10.1111/mms.12997.",quadcopter,"Phantom 4, Phantom 4 Pro",,
"Aucone, E., S. Kirchgeorg, A. Valentini, L. Pellissier, K. Deiner, and S. Mintchev",2023,Drone-assisted collection of environmental DNA from tree branches for biodiversity monitoring,Science Robotics,,data collection,,,"monitoring methods, ","Aucone, E., S. Kirchgeorg, A. Valentini, L. Pellissier, K. Deiner, and S. Mintchev. 2023. Drone-assisted collection of environmental DNA from tree branches for biodiversity monitoring. Science Robotics https://doi.org/10.1126/scirobotics.add5762.",quadcopter,custom-made,,
"Auerbach, D.S. and A.K. Fremier",2022,Identification of salmon redds using RPV-based imagery produces comparable estimates to ground counts with high inter-observer variability,River Research and Applications,,Fish,Salmonidae,"Chinook salmon, Oncorhynchus tshawytscha","population monitoring, species detection, Washington","Auerbach, D.S. and A.K. Fremier. 2022. Identification of salmon redds using RPV-based imagery produces comparable estimates to ground counts with high inter-observer variability. https://doi.org/10.1002/rra.4065.",,,,
"Augustine, J.K. and D. Burchfield",2022,Evaluation of unmanned aerial vehicles for surveys of lek‐mating grouse,Wildlife Society Bulletin,,Birds,Phasianidae,"greater prairie‐chicken, Tympanuchus cupido, lesser prairie‐chicken, Tympanuchus pallidicinctus","species identification, population estimate, disturbance, Kansas","Augustine, J.K. and D. Burchfield. 2022. Evaluation of unmanned aerial vehicles for surveys of lek‐mating grouse. Wildlife Society Bulletin https://doi.org/10.1002/wsb.1333.",quadcopter,"DJI Matrice 600 Pro, DJI Mavic
Platinum, DJI Inspire 2","Canon EOS Rebel
SL1, FLIR Vue Pro R thermal IR camera, ",
"Ayres, K.A., J.T. Ketchum, R. González-Armas, F. Galván-Magaña, A. Hearn, F.R. Elorriaga-Verplancken, R.O. Martínez-Rincón, E.M. Hoyos-Padilla, and S.M. Kajiura",2021,"Seasonal aggregations of blacktip sharks Carcharhinus limbatus at a marine protected area in the Gulf of California, assessed by unoccupied aerial vehicle surveys",Marine Ecology Progress Series,,Fish,Carcharhinidae,"blacktip shark, Carcharhinus limbatus ","population estimate, species detection, Mexico","Ayres, K.A., J.T. Ketchum, R. González-Armas, F. Galván-Magaña, A. Hearn, F.R. Elorriaga-Verplancken, R.O. Martínez-Rincón, E.M. Hoyos-Padilla, and S.M. Kajiura. 2021. Seasonal aggregations of blacktip sharks Carcharhinus limbatus at a marine protected area in the Gulf of California, assessed by unoccupied aerial vehicle surveys. Marine Ecology Progress Series https://doi.org/10.3354/meps13897.",quadcopter,DJI Phantom 4,,
"Ayres. K.A., J.T. Ketchum, R. González-Armas, F. Galván-Magaña, A. Hearn, F.R. Elorriaga-Verplancken, E.M. Hoyos-Padilla, and S.M. Kajiura",2021,The use of an unoccupied aerial vehicle to survey shark species over sand and rocky-reef habitats in a marine protected area,Journal of Fish Biology,,Fish,"Carcharhinidae,  Ginglymostomatidae","lemon shark, Negaprion brevirostris, bull shark, Carcharhinus leucas, Pacific nurse shark, Ginglymostoma unami","species identification, monitoring, Mexico","Ayres. K.A., J.T. Ketchum, R. González-Armas, F. Galván-Magaña, A. Hearn, F.R. Elorriaga-Verplancken, E.M. Hoyos-Padilla, and S.M. Kajiura. 2021. The use of an unoccupied aerial vehicle to survey shark species over sand and rocky-reef habitats in a marine protected area. Journal of Fish Biology https://doi.org/10.1111/jfb.14838.",quadcopter,DJI Phantom 4 Advanced,video - specifics not provided,
"Babatunde, D., S. Pomeroy, P. Lepper, B. Clark, and R.Walker",2022,Autonomous Deployment of Underwater Acoustic Monitoring Devices Using an Unmanned Aerial Vehicle: The Flying Hydrophone,Sensors,,Marine mammals,Phocoenidae,"harbour porpoise, Phocoena phocoena","acoustic monitoring, UK","Babatunde, D., S. Pomeroy, P. Lepper, B. Clark, and R.Walker. 2022. Autonomous Deployment of Underwater Acoustic Monitoring Devices Using an Unmanned Aerial Vehicle: The Flying Hydrophone. Sensors 20. https://doi.org/10.3390/s20216064.",quadcopter,DJI Matrice 100 & custom,,
"Baena, S., D.S. Boyd, and J. Moata",2018,UAVs in pursuit of plant conservation - Real world experiences,Ecological Informatics,,Vegetation,,,"species identification, mapping, regulations, Peru, Cayman Islands, Turks & Caicos, UK, Brazil","Baena, S., D.S. Boyd, and J. Moata. 2018. UAVs in pursuit of plant conservation - Real world experiences. Ecological Informatics 47: https://doi.org/10.1016/j.ecoinf.2017.11.001.",fixed-wing,senseFly eBee,"Canon S110, Canon S110 NIR, Canon S110 RE",
"Baird, R.W., C.J. Cornforth, S.D. Mahaffy, J.K. Lerma, A.E. Harnish, and M.A. Kratofil",2023,Field studies and analyses from 2020 through 2022 to support the cooperative conservation and long-term management of main Hawaiian Islands insular false killer whales,,Cascadia Research Collective Report,Marine mammals,Delphinidae,"false killer whale, Pseudorca crassidens","morphometrics, photogrammetry, physiology, Hawaii","Baird, R.W., C.J. Cornforth, S.D. Mahaffy, J.K. Lerma, A.E. Harnish, and M.A. Kratofil. 2023. Field studies and analyses from 2020 through 2022 to support the cooperative conservation and long-term management of main Hawaiian Islands insular false killer whales. State of Hawaiʻi Contract 68819 issued to Cascadia Research Collective, Olympia, WA. Funded by NOAA Section 6 Award NA19NMF4720111. https://cascadiaresearch.org/publications/baird_etal_2023_section6/. ",quadcopter,DJI Mavic 2 Pro,,
"Baird, R.W., S.D. Mahaffy, and J.K. Lerma",2021,"Site fidelity, spatial use, and behavior of dwarf sperm whales in Hawaiian waters: using small boat surveys, photo-identification, and unmanned aerial systems to study a difficult-to-study species",Marine Mammal Science,,Marine mammals,Kogiidae,"dwarf sperm whale, Kogia sima","species identification, individual identification, Hawaii","Baird, R.W., S.D. Mahaffy, and J.K. Lerma. 2022. Site fidelity, spatial use, and behavior of dwarf sperm whales in Hawaiian waters: using small boat surveys, photo-identification, and unmanned aerial systems to study a difficult-to-study species. Marine Mammal Science https://doi.org/10.1111/mms.12861.",quadcopter,DJI Mavic 2 Pro,8.3-MP stock camera,
